Дата	Домен	Загрузки	Показы	Сумма
2018-11-01	yang.yandex-team.ru	2	0	0,00
2018-11-01	www.woman.womantest	17	3	0,45
2018-11-01	www.woman.ru	16180	9562	1434,30
2018-11-01	www.wday.ru	12524	6245	936,75
2018-11-01	www.starhit.ru	7912	5063	759,45
2018-11-01	www.psychologies.ru	320	209	31,35
2018-11-01	www.maximonline.ru	20696	12455	1868,25
2018-11-01	hghltd.yandex.net	1	1	0,15
2018-11-01	cyr.review-z.com	1	0	0,00
2018-11-02	www.woman.womantest	10	2	0,30
2018-11-02	www.woman.ru.	5	4	0,60
2018-11-02	www.woman.ru	5823	4007	601,05
2018-11-02	www.wday.ru	4013	2300	345,00
2018-11-02	www.starhit.ru	3777	2548	382,20
2018-11-02	www.psychologies.ru	144	100	15,00
2018-11-02	www.maximonline.ru	4095	2549	382,35
2018-11-02	o53xo.o5xw2ylofzzhk.cmle.ru	1	1	0,15
2018-11-03	yang.yandex-team.ru	2	1	0,08
2018-11-03	www.woman.womantest	4	0	0,00
2018-11-03	www.woman.ru.	2	1	0,17
2018-11-03	www.woman.ru	8596	6205	932,48
2018-11-03	www.wday.ru	4271	2393	359,32
2018-11-03	www.starhit.ru	7044	4465	670,28
2018-11-03	www.psychologies.ru	523	328	49,29
2018-11-03	www.maximonline.ru.ae.x	1	1	0,08
2018-11-03	www.maximonline.ru	8144	4861	730,60
2018-11-03	webcache.googleusercontent.com	1	0	0,00
2018-11-03	hghltd.yandex.net	2	2	0,25
2018-11-03	cyr.review-z.com	0	0	0,00
2018-11-04	yang.yandex-team.ru	2	1	0,10
2018-11-04	www.woman.womantest	5	0	0,00
2018-11-04	www.woman.ru.	2	1	0,19
2018-11-04	www.woman.ru	9407	6970	1047,51
2018-11-04	www.wday.ru	4673	2688	403,64
2018-11-04	www.starhit.ru	7710	5015	752,97
2018-11-04	www.psychologies.ru	572	369	55,37
2018-11-04	www.maximonline.ru.ae.x	1	1	0,10
2018-11-04	www.maximonline.ru	8912	5461	820,72
2018-11-04	webcache.googleusercontent.com	1	0	0,00
2018-11-04	hghltd.yandex.net	2	2	0,29
2018-11-04	cyr.review-z.com	0	0	0,00
2018-11-05	yang.yandex-team.ru	3	2	0,30
2018-11-05	www.woman.womantest	20	3	0,45
2018-11-05	www.woman.ru	10198	6995	1051,10
2018-11-05	www.wday.ru	5576	3009	451,60
2018-11-05	www.starhit.ru	11606	7072	1061,66
2018-11-05	www.psychologies.ru	654	349	52,42
2018-11-05	www.maximonline.ru	7146	3702	555,98
2018-11-05	webcache.googleusercontent.com	1	1	0,15
2018-11-05	hghltd.yandex.net	2	2	0,30
2018-11-05	cyr.review-z.com	6	5	0,75
2018-11-05	9296132080.myjino.ru	1	0	0,00
